None,mdate,open_d,high_d,low_d,close_d,volume
286,2021-03-12,615.0,618.0,609.0,614.0,33876.99
287,2021-03-15,614.0,614.0,609.0,611.0,29767.904
288,2021-03-16,610.0,613.0,607.0,613.0,37780.82
289,2021-03-17,612.0,612.0,602.0,604.0,43942.131
290,2021-03-18,606.0,609.0,602.0,602.0,30223.846
291,2021-03-19,594.0,598.0,591.0,591.0,74960.854
292,2021-03-22,588.0,598.0,586.0,593.0,35931.375
293,2021-03-23,597.0,603.0,593.0,594.0,31933.358
294,2021-03-24,571.0,582.0,571.0,576.0,115318.351
295,2021-03-25,572.0,581.0,570.0,575.0,74225.812
296,2021-03-26,582.0,592.0,580.0,590.0,37937.242
297,2021-03-29,599.0,602.0,596.0,599.0,40573.913
298,2021-03-30,600.0,600.0,592.0,597.0,34686.346
299,2021-03-31,596.0,597.0,587.0,587.0,44454.672
300,2021-04-01,598.0,602.0,594.0,602.0,45972.766
301,2021-04-06,615.0,616.0,608.0,610.0,37664.216
302,2021-04-07,614.0,614.0,608.0,610.0,28140.964
303,2021-04-08,606.0,613.0,603.0,613.0,26658.283
304,2021-04-09,618.0,618.0,609.0,610.0,31601.619
305,2021-04-12,612.0,613.0,603.0,605.0,23319.822
306,2021-04-13,604.0,613.0,604.0,605.0,27386.926
307,2021-04-14,608.0,612.0,600.0,612.0,31144.922
308,2021-04-15,612.0,619.0,607.0,619.0,36394.255
309,2021-04-16,610.0,611.0,603.0,610.0,49952.191
310,2021-04-19,605.0,607.0,601.0,603.0,25234.976
311,2021-04-20,598.0,602.0,595.0,602.0,36655.069
312,2021-04-21,599.0,599.0,592.0,592.0,41893.725
313,2021-04-22,596.0,598.0,591.0,591.0,38094.824
314,2021-04-23,592.0,602.0,590.0,602.0,29004.756
315,2021-04-26,605.0,610.0,603.0,610.0,32426.908
316,2021-04-27,608.0,611.0,605.0,610.0,26761.401
317,2021-04-28,606.0,608.0,601.0,602.0,24601.487
318,2021-04-29,609.0,609.0,600.0,600.0,35756.46
319,2021-05-03,595.0,597.0,588.0,588.0,46801.189
320,2021-05-04,588.0,594.0,582.0,591.0,45507.479
321,2021-05-05,594.0,594.0,585.0,585.0,31786.592
322,2021-05-06,590.0,590.0,580.0,587.0,33165.446
323,2021-05-07,594.0,600.0,589.0,599.0,28719.597
324,2021-05-10,596.0,597.0,588.0,589.0,21365.583
325,2021-05-11,579.0,580.0,570.0,571.0,66035.839
326,2021-05-12,567.0,571.0,518.0,560.0,138328.672
327,2021-05-13,547.0,563.0,541.0,547.0,71519.43
328,2021-05-14,556.0,562.0,552.0,557.0,38625.148
329,2021-05-17,544.0,558.0,541.0,549.0,58446.847
330,2021-05-18,563.0,573.0,555.0,572.0,44584.258
331,2021-05-19,571.0,572.0,565.0,567.0,29610.174
332,2021-05-20,567.0,571.0,560.0,567.0,36605.692
333,2021-05-21,572.0,577.0,568.0,573.0,28009.899
334,2021-05-24,570.0,572.0,566.0,568.0,15981.036
335,2021-05-25,576.0,584.0,573.0,583.0,35445.35
336,2021-05-26,587.0,588.0,581.0,585.0,19555.305
337,2021-05-27,580.0,582.0,573.0,582.0,70061.002
338,2021-05-28,587.0,592.0,582.0,590.0,30720.737
339,2021-05-31,595.0,597.0,590.0,597.0,31557.426
340,2021-06-01,598.0,599.0,595.0,598.0,18405.285
341,2021-06-02,600.0,600.0,593.0,595.0,22416.789
342,2021-06-03,600.0,600.0,596.0,596.0,31703.679
343,2021-06-04,591.0,595.0,590.0,595.0,16072.58
344,2021-06-07,594.0,595.0,583.0,592.0,17729.179
345,2021-06-08,590.0,595.0,588.0,589.0,14083.552
346,2021-06-09,586.0,588.0,583.0,586.0,21575.159
347,2021-06-10,591.0,599.0,587.0,599.0,29741.77
348,2021-06-11,602.0,603.0,600.0,602.0,24940.705
349,2021-06-15,607.0,609.0,606.0,609.0,30245.897
350,2021-06-16,608.0,608.0,605.0,605.0,28624.508
351,2021-06-17,601.0,606.0,598.0,606.0,26477.032
352,2021-06-18,608.0,608.0,601.0,603.0,42036.17
353,2021-06-21,590.0,594.0,583.0,583.0,47339.695
354,2021-06-22,585.0,588.0,578.0,578.0,30578.091
355,2021-06-23,583.0,598.0,581.0,595.0,36386.023
356,2021-06-24,598.0,598.0,588.0,590.0,19322.765
357,2021-06-25,598.0,598.0,589.0,591.0,19140.086
358,2021-06-28,590.0,590.0,586.0,590.0,15401.977
359,2021-06-29,598.0,598.0,591.0,595.0,30837.548
360,2021-06-30,599.0,599.0,595.0,595.0,34021.38
361,2021-07-01,596.0,597.0,591.0,593.0,18719.706
362,2021-07-02,590.0,593.0,587.0,588.0,19633.718
363,2021-07-05,588.0,597.0,588.0,591.0,30274.105
364,2021-07-06,595.0,596.0,589.0,592.0,13830.591
365,2021-07-07,590.0,594.0,588.0,594.0,17329.148
366,2021-07-08,595.0,595.0,588.0,588.0,21596.183
367,2021-07-09,582.0,585.0,580.0,584.0,30602.492
368,2021-07-12,595.0,597.0,590.0,593.0,33011.596
369,2021-07-13,600.0,608.0,599.0,607.0,54894.335
370,2021-07-14,613.0,615.0,608.0,613.0,39670.241
371,2021-07-15,613.0,614.0,608.0,614.0,23057.868
372,2021-07-16,591.0,595.0,588.0,589.0,61882.128
373,2021-07-19,583.0,584.0,578.0,582.0,43248.966
374,2021-07-20,579.0,584.0,579.0,581.0,16352.855
375,2021-07-21,586.0,586.0,580.0,585.0,26476.215
376,2021-07-22,589.0,594.0,587.0,591.0,27075.95
377,2021-07-23,592.0,592.0,583.0,585.0,15705.191
378,2021-07-26,591.0,591.0,580.0,580.0,22442.745
379,2021-07-27,581.0,584.0,580.0,580.0,18925.325
380,2021-07-28,576.0,579.0,573.0,579.0,39744.486
381,2021-07-29,585.0,585.0,577.0,583.0,25014.772
382,2021-07-30,581.0,582.0,578.0,580.0,26141.286
383,2021-08-02,583.0,590.0,580.0,590.0,24948.096
384,2021-08-03,594.0,594.0,590.0,594.0,28104.984
385,2021-08-04,598.0,598.0,594.0,596.0,23714.971
386,2021-08-05,598.0,598.0,593.0,596.0,15673.765
387,2021-08-06,596.0,596.0,588.0,591.0,13994.018
388,2021-08-09,590.0,595.0,583.0,595.0,17611.955
389,2021-08-10,596.0,596.0,589.0,591.0,17620.825
390,2021-08-11,590.0,590.0,585.0,590.0,20311.399
391,2021-08-12,586.0,588.0,584.0,586.0,16031.265
392,2021-08-13,585.0,585.0,579.0,581.0,25440.973
393,2021-08-16,582.0,586.0,578.0,584.0,19949.389
394,2021-08-17,580.0,582.0,578.0,580.0,31845.499
395,2021-08-18,568.0,575.0,566.0,574.0,47063.629
396,2021-08-19,573.0,573.0,559.0,559.0,42133.375
397,2021-08-20,560.0,563.0,551.0,552.0,47741.449
398,2021-08-23,560.0,572.0,559.0,566.0,34775.337
399,2021-08-24,574.0,575.0,571.0,572.0,27397.309
400,2021-08-25,579.0,585.0,574.0,585.0,28867.651
401,2021-08-26,601.0,603.0,591.0,594.0,45027.32
402,2021-08-27,596.0,600.0,593.0,599.0,29459.532
403,2021-08-30,602.0,605.0,599.0,605.0,40606.821
404,2021-08-31,604.0,614.0,598.0,614.0,58916.407
405,2021-09-01,614.0,614.0,608.0,613.0,31242.788
406,2021-09-02,613.0,615.0,607.0,607.0,26715.492
407,2021-09-03,610.0,620.0,610.0,620.0,53915.006
408,2021-09-06,623.0,638.0,621.0,631.0,59223.061
409,2021-09-07,634.0,634.0,623.0,623.0,27422.775
410,2021-09-08,622.0,627.0,612.0,619.0,38713.621
411,2021-09-09,612.0,620.0,610.0,619.0,19309.522
412,2021-09-10,615.0,623.0,614.0,622.0,16740.439
413,2021-09-13,619.0,620.0,613.0,615.0,15809.768
414,2021-09-14,618.0,618.0,612.0,613.0,16024.935
415,2021-09-15,610.0,613.0,607.0,607.0,26041.452
416,2021-09-16,603.0,607.0,599.0,600.0,23315.04
417,2021-09-17,600.0,610.0,599.0,600.0,42383.815
418,2021-09-22,586.0,589.0,583.0,586.0,42732.169
419,2021-09-23,588.0,593.0,588.0,588.0,22736.266
420,2021-09-24,591.0,598.0,590.0,598.0,17302.848
421,2021-09-27,600.0,602.0,593.0,602.0,20034.221
422,2021-09-28,595.0,596.0,592.0,594.0,17325.896
423,2021-09-29,580.0,583.0,577.0,580.0,51834.124
424,2021-09-30,580.0,585.0,575.0,580.0,36318.623
425,2021-10-01,579.0,579.0,571.0,574.0,39006.124
426,2021-10-04,574.0,575.0,569.0,572.0,22288.138
427,2021-10-05,562.0,572.0,560.0,572.0,36063.65
428,2021-10-06,573.0,574.0,565.0,571.0,33989.379
429,2021-10-07,575.0,582.0,572.0,580.0,28480.4
430,2021-10-08,582.0,583.0,573.0,575.0,22601.904
431,2021-10-12,570.0,575.0,564.0,575.0,27126.088
432,2021-10-13,572.0,575.0,570.0,571.0,19267.437
433,2021-10-14,579.0,579.0,573.0,573.0,14270.641
